web-scraper-order,web-scraper-start-url,program_name,program_name-href,description,eligibilty_criteria
"1582865898-88","https://www.vu.edu.pk/pages/AllPrograms.aspx","Psychology","https://www.vu.edu.pk/pages/AssociateDegree_Psychology.aspx","The Associate Degree in Psychology is a regular 2-year degree program which has been designed to equip the students with requisite knowledge and skills which would help them taking an early start of their professional career so that they can earn their livings and support their families too.","Admission Eligibility Criteria"
"1582865746-15","https://www.vu.edu.pk/pages/AllPrograms.aspx","Genetics","https://www.vu.edu.pk/pages/MS_Genetics.aspx","MS in Genetics degree program is designed to provide a practical coverage of modern genetics directing on the organization, inheritance, expression and evolution of genes in organisms extending from bacteria to human. It is an important branch of biology that helps to unleash the information encrypted in DNA, inheritance and helps to find out how to avoid hereditary diseases, explore evolution and study biodiversity/variation in living organisms by studying DNA and genes and their interactions. It has plenty of practical applications like understanding the genetic basis behind the human genetic disorders; better understanding of evolution of species, forensics, legal implications and genetic enhancement of abilities. The trained manpower in this field is the need of time all over the world. The students get their jobs in academics, clinical research institutes, pharmaceutical industry, diagnostics, research laboratories, hospitals and as self-employed in genetic counseling practices etc.","16-year education i.e., BS/MSc in Zoology/Biology/Botany/ BS in Biotechnology/ Microbiology/Biochemistry/ Environmental Sciences/Bioinformatics/Forestry, Agriculture, Public health or in related sciences /MBBS/DVM or equivalent with at least 1st Division in annual system or at least CGPA 2.50 out of 4 in semester system."
"1582865886-82","https://www.vu.edu.pk/pages/AllPrograms.aspx","Information Technology (MIT)","https://www.vu.edu.pk/pages/mit.aspx","The main educational aim of the Master of Information Technology is to provide broad technical understanding of latest and emerging technologies in the field of information technology. Due to rapid worldwide dependency on software application, the requirement for trained and experienced IT specialist is in great demand. The program offered provides a unique edge in the current complex marketplace.","Bachelor degree from a recognized university/ institute in any of the following subject: Mathematics, Physics, Computer Science, Commerce, Statistics, Economics, Business Administration, Engineering wherein two courses must be from the same department in a semester system or at least 150 marks weightage under annual system. Candidate must have at least 45% marks in the graduation degree."
"1582865917-97","https://www.vu.edu.pk/pages/AllPrograms.aspx","Mass Communication","https://www.vu.edu.pk/pages/MaterMassComm.aspx","Master’s program in Mass Communication aims to provide learners a sound theoretical knowledge in the field of mass media. Whether it is the mushroom growth of TV channels in the country or increasing trend of online journalism along with all-time reliable print media, mass communication is expanding on a fast pace in its all dimensions. Thus it is expected to be a golden opportunity for those who are aspiring to work as broadcast journalists, reporters and producers in Television, Radio or Newspapers. Professionals, already associated to this field can also opt for this program in order to enhance their qualification. This study program will equip the students with reporting techniques, stages of news production, media laws and behind the camera operations in order to achieve professional competence demanded by the industry.","Bachelor’s degree equivalent to 14-year education from a recognized University/Institute with at least 45% marks or CGPA 2.00 out of 4."
"1582865750-17","https://www.vu.edu.pk/pages/AllPrograms.aspx","Bioinformatics","https://www.vu.edu.pk/pages/MS_BioInof.aspx","Master of Science in Bioinformatics is a research based degree program offered by the Department of Bioinformatics and Computational Biology. The field of Bioinformatics has emerged with a merger of biological science and computer science to help in storing, visualizing and interpreting the biological data. The program has been designed to equip the students with latest knowledge, tools and techniques to develop algorithms/tools for protein/homology modelling, generating protein sequences and structure alignments and simulators for constructing true alignments. The program aims at fulfilling the needs of educational and research institutions and the industry serving/ specializing in the fields of health and life sciences.","16-year of education in Computer Science/Software Engineering, Mathematics, Statistics and Biological Sciences with at least CGPA 2.50 out of 4 or 1st division wherein GPA system is not implemented."
"1582865882-80","https://www.vu.edu.pk/pages/AllPrograms.aspx","Information Technology (MIT) Only for VU Graduates","https://www.vu.edu.pk/pages/MIT_VUGraduates.aspx","1). Admission to MIT Program with BS (Business Administration)/BS (Public Administration /BS (Commerce)","Following courses if already qualified by the candidates holding BS in Business Administration / BS in Public Administration/ BS in Commerce from VU are exempted towards MIT program."
"1582865805-43","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Commerce)","https://www.vu.edu.pk/pages/bscomm.aspx","The BS in Commerce is a multi-disciplinary program which nurtures critical thinking and leadership skills of students. A focus on the ""why"" beyond the ""how"" in the curriculum helps students to prepare for highly gratifying professional careers. The Virtual University curriculum prepares students to solve practical problems through building their basic skill sets.”","Note"
"1582865913-95","https://www.vu.edu.pk/pages/AllPrograms.aspx","Economics","https://www.vu.edu.pk/pages/BSEconomics.aspx","Bachelor of Science in Economics program is designed for those students who, after completing their 12 years of education, are looking for some knowledge based, career oriented and market determined educational program in the field of Economics. The program is the blend of different courses like theoretical, quantitative and applied areas in economics, which will enable the students to review, analyze and provide solutions to complex problems with intellectual independence.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
"1582865830-55","https://www.vu.edu.pk/pages/AllPrograms.aspx","Banking & Finance","https://www.vu.edu.pk/pages/mobf.aspx","This program is designed to produce highly skilled, analytical and forward-thinking graduates who are ready to slot into a specialized role in the rapidly growing banking industry, finance and financial consultancy sectors. The program will also be suitable for existing employees of these organizations to provide in depth understanding of the financial markets and their institutions as well as a clear comprehension of the financial instruments at their disposal.","Note"
"1582865834-57","https://www.vu.edu.pk/pages/AllPrograms.aspx","Accounting","https://www.vu.edu.pk/pages/moa.aspx","There is a growing demand for highly trained accountants who can guide their organizations through unpredictable economic environment that exists globally today. The Master of Accounting program offers students high-quality and rigorous instructions focused on thorough understanding of accounting functions in the workplace. It offers an opportunity to pursue specialized and in depth knowledge of the accounting discipline. The program prepares graduates to enter or further enhance their career as a professional accountant in financial institutions, government, industry, NGOs, and public practice.","Candidates having Bachelor’s degree (14-year education) in [B.Com, BBA (2-year) and other relevant equivalent qualification] with at least 45% marks or CGPA of at least 2.00 out of 4 are eligible to apply."
"1582865846-63","https://www.vu.edu.pk/pages/AllPrograms.aspx","B.Ed. Elementary (2.5-Year)","https://www.vu.edu.pk/pages/Bed2-5Year.aspx","Education is a growing sector which requires dealing and educating students with different learning capabilities/styles, and offers an exciting career with its own challenges and rewards. Elementary education is the first phase of education usually preceded by nursery or Montessori school education and followed by middle and secondary school education. In Elementary education, children are usually engaged in classes with one teacher, who becomes responsible for their education and well-being for the entire academic year. The continuity with a single teacher and the opportunity to build a close relationship within the class is a distinguishing characteristic of Elementary education. The teacher guides the students based on their abilities, competency and knowledge, and becomes a role model for them. The basic objective of a 2.5 years Bachelor’s in Education (Elementary) program is to equip prospective teachers with teaching tools and an in-depth knowledge to meet tomorrow’s educational challenges. Virtual University of Pakistan aims at developing dynamic and skilled elementary school teachers who are fluent in the use of latest technologies and well-versed with the latest advancements in knowledge and pedagogy.","BA/ B.Sc. (equivalent to 14 years of education) with at least 45% marks or CGPA 2.0 out of 4 from a recognized university/institution."
"1582865915-96","https://www.vu.edu.pk/pages/AllPrograms.aspx","English Language Teaching (ELT)","https://www.vu.edu.pk/pages/MA_ELT.aspx","MA English Language Teaching (ELT) is a 2-years degree program designed to facilitate academic and professional development of those who aspire to teach English as a second language in Pakistan. The program will be equally beneficial for pre- service and in- service teachers. Focusing on current theory and practice in English language teaching, MA ELT will contribute to their career development by introducing them to eclectic teaching methods, curriculum and syllabus design, designing classroom activities and lesson plans. The program will facilitate students to develop and reflect upon their understanding of English Language Teaching and lead them to explore the recent developments in teaching methodology and teacher education so that they can amicably perform the role of teachers as well as model-facilitators. The program specifically helps to develop their knowledge and understanding of English with a specific focus on receptive and productive skills of language.","BA/B.Sc. or equivalent relevant qualification with ‘English’ as compulsory/optional subject with at least 45% marks or CGPA 2.00 out of 4 from HEC recognized university/institution."
"1582865733-9","https://www.vu.edu.pk/pages/AllPrograms.aspx","Zoology","https://www.vu.edu.pk/pages/MscZoology.aspx","M.Sc. Zoology is designed to meet the challenges presented by the rapidly changing world. Zoology is an interdisciplinary field that involves the scientific learning of all facets of animal life ranging from microscopic single-celled organisms to complex multicellular organisms. Zoology plays an important part in food security, human resource development, environmental conservation, sustainable development and eventually in mitigation of poverty. The aim of the M.Sc. Program is to prepare the students to conduct experiments and projects using scientific methods and instrumentation, and to solve problems in the domain of Zoology so that they may play vital role for the betterment of the country.","Only local students are eligible for admission as it is not available in overseas mode."
"1582865826-53","https://www.vu.edu.pk/pages/AllPrograms.aspx","Business Economics (MB Econ)","https://www.vu.edu.pk/pages/mbecon.aspx","The Master of Business Economics provides broad understanding of latest and emerging trends in the field of business and economics. It emphasis on the studies of impact on private and public sector organizations due to Government polices and continuously changing global business environment.  The program equips the candidates to face these challenges and prove themselves as future business managers or policy consultants due to their great analytical and problem solving skills.","At least 45% marks or CGPA of at least 2.00 out of 4 in B.Com, BBA (2- years) or B.Sc. (Math, Stat & Economics courses) from a recognized University/Institute."
"1582865803-42","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Commerce)  for B.com degree holders","https://www.vu.edu.pk/pages/bscommforbcom.aspx","Candidates holding 2-year B.Com degree from a recognized University / institute with at least 45% marks are eligible for admission to BS in Commerce (in accordance to HEC, Islamabad, 4-year BS in Commerce is equivalent to existing M.Com) with followings conditions and required to qualify at least 72 credit hours with minimum 4-semester to achieve CGPA 2.0 out of 4","Course Exemption"
"1582865780-31","https://www.vu.edu.pk/pages/AllPrograms.aspx","Business Administration","https://www.vu.edu.pk/pages/AssociateDegree_BA.aspx","The Associate Degree in Business Administration is a regular 2-year degree program which has been designed to equip the students with adequate knowledge and skills which would help them taking an early start of their professional career so that they can earn their livings and support their families too.","Admission Eligibility Criteria"
"1582865767-25","https://www.vu.edu.pk/pages/AllPrograms.aspx","Entrepreneurship & SME Management","https://www.vu.edu.pk/pages/PGDEnSME.aspx","Post Graduate Diploma in Entrepreneurship & SME Management has been designed with an objective to give opportunity to entrepreneurs, small business owners, general practitioners and students to understand the foundation of entrepreneurship and equip themselves with necessary skills required to manage business ventures. The program can also be of immense value for those middle managers who are interested in launching and managing new ventures from the platform of large scale corporations.  Students interested in seeking higher education in entrepreneurship and SME management or launching own ventures can also be benefited from the program.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865884-81","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Science (MCS) Only for VU Graduates","https://www.vu.edu.pk/pages/MCS_VUGraduates.aspx","1).Admission to MCS Program with BS in Business Administration/BS in Public Administration/BS in Commerce/BS in Psychology/BS in Mass Communication","Following courses, if already qualified by the candidates holding BS in Business Administration / BS in Public Administration / BS in Commerce/BS in Psychology/BS in Mass Communication from VU are exempted towards MCS program."
"1582865729-7","https://www.vu.edu.pk/pages/AllPrograms.aspx","Mathematics","https://www.vu.edu.pk/pages/BSMathematics.aspx","Bachelor of Science in Mathematics program is designed for those students who want to pursue their study in the field of Mathematics. Mathematics is a basic and powerful tool for solving problems and a highly creative field of study. Mathematics is important to all areas of our society and is a foundation for many different kinds of careers. Mathematical graduates are in high demand and can obtain well paid work in many areas, including teaching, investment banking and finance; the civil service; the pharmaceutical industry; and medicine statistics. Mathematics graduates are highly employable due to the advanced problem-solving, analytical skills and higher level numeracy skills developed by studying this subject.","Note"
"1582865725-5","https://www.vu.edu.pk/pages/AllPrograms.aspx","Biotechnology","https://www.vu.edu.pk/pages/bsbiotech.aspx","BS in Biotechnology is designed to equip the students with the updated and practical knowledge of this multidisciplinary and emerging field. Biotechnology is the application of scientific and engineering principals to the processing of material by biological agents to deliver goods and services. Biotechnology involves a number of technologies centered upon growing understanding of biology at the cellular and molecular level. Biotechnological applications play an important role in health industry, agriculture and environment and are helpful in making life of human beings peaceful and comfortable. The aim of BS in Biotechnology is to develop indigenous manpower experts in Biotechnology that will help the industry of biotechnology by making novel achievements. The students may seek their career in educational institutes, scientific research and development, management in biotechnology and pharmaceutical sector.","Note"
"1582865888-83","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Science (MCS)","https://www.vu.edu.pk/pages/mcs.aspx","The Department of Computer Science offers a 2-year program leading to an MCS (Master of Computer Science) degree. The program is designed especially for Bachelor graduates who wish to enter this highly exciting and challenging field to meet the growing need of computer science experts in the rapidly evolving 21st century economy. The program provides graduated will with a strong technological base that will enable them to capitalize on the increasing career opportunities in this sector. This specialization provides a highly demanded expertise, great mobility and flexibility, and an impressive range of possible career choices in the industry.","Bachelor degree from a recognized university/ institute in any of the following subject: Mathematics, Physics, Computer Science, Commerce, Statistics, Economics, Engineering wherein two courses must be from the same department in a semester system or at least 150 marks weightage under annual system. Candidate must have at least 45% marks in the graduation degree. Candidate holding PGD in Computer & Information Technology, PGD in Business Administration dually issued by the recognized Institute / University are eligible for admission towards MCS Program."
"1582865790-36","https://www.vu.edu.pk/pages/AllPrograms.aspx","Islamic Banking","https://www.vu.edu.pk/pages/AssociateDegree_IB.aspx","The Associate Degree Program in Islamic Banking has been designed for candidates having 12-years education who want to be resourceful in the principles, concepts and practices of Islamic banking; who want to be conversant with essential aspects of the operations of Islamic banking which is the fast growing parallel banking system in Pakistan and worldwide; and obtain a well-integrated knowledge of Islamic banking and Islamic finance which is essential for the entry level job in Islamic banking.","Note"
"1582865859-69","https://www.vu.edu.pk/pages/AllPrograms.aspx","Education (Educational Leadership & Management)","https://www.vu.edu.pk/pages/mphiledu.aspx","M. Phil in Education [Educational Leadership & Management] is specially geared for teachers who are either teaching or serving as administrators at all levels in private and public sector institutions and have an interest in research and would like to advance their educational career.","Candidates having 16-year of qualification with education major i.e. BS Education/ MA Education / M.Ed. with at least CGPA 2.50 out of 4 or 1st division from recognized institution, whatever is applicable, are eligible to apply."
"1582865761-22","https://www.vu.edu.pk/pages/AllPrograms.aspx","Marketing Management","https://www.vu.edu.pk/pages/pgdmm.aspx","Post Graduate Diploma in Marketing Management has been designed with special objectives to provide opportunity to practitioners, theorists and students to enhance their understanding on marketing management. Practitioners with or without business degree can have specialized knowledge of marketing required in formulating strategies and making day to day decisions in the field. Theorists can get the necessary background knowledge required for theory development in the discipline of marketing. Students interested in having future in the field of marketing can also take this diploma as a solid foundation for both practical advancement as well as advancement in higher education.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865919-98","https://www.vu.edu.pk/pages/AllPrograms.aspx","Organizational Psychology","https://www.vu.edu.pk/pages/MScOrgPsychology.aspx","Within the realm of organization and work environment, the importance of human resources can never be overlooked. Amalgamating psychology in this domain has resulted in enrichment of manpower of organizations/industries on the global level. The healthier the human resources of an organization are mentally, the richer are the chances for economic progress of that organization as well as the entire country. The need for such a collaboration is also increasing in our country and now many organizations are including professional psychologists in various areas of organizations i.e. recruitment, screening, evaluation, morale boosting, etc. The M.Sc. (Organizational Psychology) Program offers a vast scope to the students to understand the peculiarities of organizational domain by viewing them from the lens of a psychologist.","Bachelor’s Degree (14-year education) with ‘Psychology’ as an elective subject, BBA (or any other relevant equivalent qualification) from a recognized University/Institute with a minimum of 45% marks or CGPA 2.00 out of 4"
"1582865819-50","https://www.vu.edu.pk/pages/AllPrograms.aspx","Finance","https://www.vu.edu.pk/pages/mof.aspx","The program provides a well-integrated knowledge of financial accounting, finance and investment, and management accounting, together with the ability to relate this to the wider issues of management and corporate strategy. It prepares graduates for a wide range of careers in corporate finance, investment management, financial analysis and personal financial planning.","Note"
"1582865905-91","https://www.vu.edu.pk/pages/AllPrograms.aspx","English (Applied Linguistics)","https://www.vu.edu.pk/pages/bs_english.aspx","BS English (Applied Linguistics) is a four-year degree program that has been designed with a special focus on advancing academic and professional development of students who want to gain knowledge of applied linguistics and apply it to practical problems related to language in use and language teaching. With an emphasis on developing skills and knowledge that can be utilized in diverse professional environments, this intensive program draws on knowledge about language, how it works and how it affects real-life issues. It not only focuses on the current practices and theories regarding English language but also incorporates secondary fields from other disciplines such as Social Sciences and Applied Sciences thus making the students more confident and subtle in interlinking their knowledge of Applied Linguistics with other disciplines and enhancing their professional career.","Admission Eligibility Criteria"
"1582865907-92","https://www.vu.edu.pk/pages/AllPrograms.aspx","Sociology","https://www.vu.edu.pk/pages/BSSociology.aspx","The basic purpose of introducing Bachelor of Science in Sociology program is to prepare students in the field of Sociology as per progressive requirements and challenges. The students graduating from this discipline will be able to acquire the necessary skills for understanding the multi-cultural views and aspects of the social world.



The discipline of sociology is mainly concerned about social analysis. In a way, it provides an opportunity to deeply understand and analyze human societies and cultures under the umbrella of sociological perspectives. It also attempts to understand the evolutionary process of societies along with historical transformations. Discipline of Sociology has also paid premium attention to methods of research as contemporary sociology is more empirical and research oriented rather than theoretical. The BS Degree Program is explicitly aimed at preparing the students for advanced graduate study in Social Sciences and Social Science-based professions.","Intermediate e.g. FA/F.Sc. (equivalent to 12 years of education) with at least 45% marks."
"1582865842-61","https://www.vu.edu.pk/pages/AllPrograms.aspx","Early Childhood Care and Education","https://www.vu.edu.pk/pages/AssociateDegree_EarlyChildCare_Edu.aspx","The Associate Degree in Early Childhood Care and Education (AD) program is designed for students having FA/ FSc. /equivalent qualification. The objectives of this program are two pronged, firstly to prepare quality teachers for newly emerging early childhood care and education programs in the public and private sectors and secondly to provide the prospective teachers the first half of the B.Ed. Hons. Degree course work. The program is thus designed to equip prospective teachers with multidimensional holistic understanding of the child, teaching tools and basic knowledge of educational challenges for early childhood education. At the completion of this degree one may join the exciting profession of ECCE teacher or may continue to complete his/her B. Ed in ECCE.","Note"
"1582865807-44","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Business Administration)","https://www.vu.edu.pk/pages/bsba.aspx","The bachelor's degree program offers a progressive curriculum designed to teach business fundamentals and higher level leadership skills. This specialization in business administration helps you develop the management, interpersonal, and professional skills you need to advance your career The Bachelor of Science in Business Administration (BSBA) is four-year (8 semesters) program and designed for candidates having 12-years education with commerce & business backgrounds specifically, and students from arts & science backgrounds are also eligible to get admission in BS - Business Administration.","Note"
"1582865721-3","https://www.vu.edu.pk/pages/AllPrograms.aspx","Molecular Biology","https://www.vu.edu.pk/pages/pgd_Molecular_Bio.aspx","Post Graduate Diploma in Molecular Biology has been designed for students who are willing to adopt Molecular Biology as an area for their higher education. It is aimed to give students a complete walk through the field and to provide an enduring foundation for future professional growth. Molecular Biology is the study of the structure and function of genes and the proteins they encode, including genome sequencing, recombinant DNA technology and macromolecular structure determination, and the study is imperative for human development and advances in medical sciences. Diploma in Molecular Biology will inculcate in students the ability to undertake technical assignments in their organizations. The program mode will be hybrid (theoretical part of the each course will be delivered online while practical sessions will be conducted at different VU labs; Karachi, Multan, Rawalpindi, Lahore, Faisalabad and Peshawar), which gives them an edge on other universities. Mobile lab and smart lab are two other initiatives of the bioscience faculty to provide practical facility at the doorstep of students. Diploma in molecular biology (1-year) degree program at Virtual University of Pakistan will facilitate all the students from all over Pakistan to get higher education at their own convenience.  Students will just have to attend the university lab once in a semester for a period of three weeks only, while rest of the time they can study online at their own houses.","Course(s) exemption is not allowed."
"1582865769-26","https://www.vu.edu.pk/pages/AllPrograms.aspx","Business Administration","https://www.vu.edu.pk/pages/pgdba.aspx","Post Graduate Diploma in Business Administration equips the students and in-service employees to meet the challenges and avail the opportunities of the corporate world. The main focus of the program is to provide management-cum-computer education to in-service employees and interested students. It strengthens the management and leadership capabilities of students. The program provides balanced coverage of the various aspects of Business and Management that will also allow the diploma holders to meet the challenge of today's technology. Candidates after obtaining diploma can seek admission in Master Degree Programs.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865840-60","https://www.vu.edu.pk/pages/AllPrograms.aspx","Education","https://www.vu.edu.pk/pages/pgdedu.aspx","Post Graduate Diploma in Education has been designed with a core purpose of training and developing teachers who either intend to join or already serving in schools by polishing their pedagogical skills. The program aims to equip prospective teachers with latest techniques of classroom management, assessment and evaluation.","Bachelor’s degree from a recognized university / institute in any discipline with at least 45% marks or CGPA 2.00 out of 4."
"1582865923-100","https://www.vu.edu.pk/pages/AllPrograms.aspx","Economics","https://www.vu.edu.pk/pages/MScEconomics.aspx","M.Sc. Economics is designed for students who want to excel their career in the field of Economics. The program has been designed to equip students with in-depth knowledge of the subject and research which fully train them for developing their career. Besides study of different courses, the students are required to complete a project which would provide them a platform to apply their knowledge practically.","Candidates having Bachelor’s degree (14-year education) e.g. BA/ BSc/ B Com or equivalent with at least 45% marks or CGPA 2.00 out of 4 are eligible to apply."
"1582865727-6","https://www.vu.edu.pk/pages/AllPrograms.aspx","Bioinformatics","https://www.vu.edu.pk/pages/BS_BioInfo.aspx","BS in Bioinformatics is designed to gratify the demands of a multidisciplinary and rapidly evolving field. Bioinformatics, a combination of biology and computer science, is an emerging field that helps in collecting, linking and manipulating different types of biological information to discover new biological insight. Bioinformatics is playing a critical role in understanding biological data by providing quick information and making research fast and facilitating us to understand and improve life. BS in Bioinformatics is aimed to equip the students with the updated knowledge, software tools and different databases for better manipulation of biological data and designing of new drugs to treat various diseases. The students may pursue their career as Bioinformatics software developer, scientific curator, Protein analyst, Computational biologist, Phylogeneticist, Gene analyst, Research scientist, Database programmer, Structural analyst, Bio-statistician and Molecular modeller.","Note"
"1582865776-29","https://www.vu.edu.pk/pages/AllPrograms.aspx","Accounting","https://www.vu.edu.pk/pages/pgdA.aspx","Post Graduate Diploma in Accounting has been designed to equip the students with comprehensive book-keeping knowledge which will help in-service students to strengthen their concepts and improve their professional competencies. It will also suit candidates who intend to start their professional career with strong book-keeping exposure.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865799-40","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Marketing)","https://www.vu.edu.pk/pages/bsmkt.aspx","The Faculty of Management offers a 4-year 8 semester program leading to a BS Degree in Marketing. The program has been designed for candidates having 12-years education who want to adopt business as career and like to enhance their marketing skills. The program is expected to provide opportunities to the students to learn variety of marketing techniques being used in the challenging business world. Marketing is an exceptionally broad field encompassing a wide range of business activities and can be applied to almost every occupational field. In 21st century, every firm needs marketing people to discover, measure and analyze markets; develop and manage products and services; manage storage and distribution; create and manage advertising, promotion and sales; design rational pricing policies; and maintain positive customer relations.","Note"
"1582865731-8","https://www.vu.edu.pk/pages/AllPrograms.aspx","Science (Maths, Stat & Eco)","https://www.vu.edu.pk/pages/AssociateDegree_MSE.aspx","The Associate Degree in Science (Mathematics, Statistics & Economics) program is a 2-year/4-Semester Program which has been designed to equip the students with adequate knowledge and skills which would help them taking an early start of their professional career so that they can earn their livings and support their families too.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
